"return_id","order__order_id","product__product_id","customer__customer_id","return_unit_cost","return_unit_quantity","wdf__client_id","return_unit_paid_amount","date","return_date"
"R-WF94RWMK","O-UEFWRSNW","P-Z59F8USY","C-NNBC9C7E","75.33","7","merchant__electronics","109.1","2022-04-23 18:13:46","2022-04-23 18:13:46"
"R-XN9LILBY","O-4BEZOCD3","P-HNI2QR67","C-4ZGJHYVP","223.22","9","merchant__electronics","157.7","2022-04-23 18:29:35","2022-04-23 18:29:35"
"R-SZWWV0OD","O-2406CND6","P-ISSHH50H","C-WA3TQDE2","374.59","9","merchant__clothing","284.5","2022-04-24 02:29:01","2022-04-24 02:29:01"
"R-2FDSY0BZ","O-4UZMINFJ","P-6YXUDZDH","C-IMV791FG","343.23","10","merchant__bigboxretailer","852.47","2022-04-24 12:24:00","2022-04-24 12:24:00"
"R-N20DHO3D","O-6H6DZ8Z6","P-B01VWS38","C-H6UI8YS8","67.98","2","merchant__electronics","147.84","2022-04-24 13:44:38","2022-04-24 13:44:38"
"R-9K08YC32","O-4UZMINFJ","P-QTCC1QZX","C-IMV791FG","75.76","8","merchant__bigboxretailer","625.36","2022-04-24 15:22:02","2022-04-24 15:22:02"
"R-DR6TUPLX","O-FS1M1KZ4","P-VOEIYK0G","C-XJUIC7WJ","9.61","7","merchant__bigboxretailer","11.67","2022-04-24 17:01:08","2022-04-24 17:01:08"
"R-NJSORUJZ","O-38ZOKLJ4","P-4KW88B3C","C-9G0DI8PX","441.96","5","merchant__electronics","384.02","2022-04-24 17:09:32","2022-04-24 17:09:32"
"R-CVOTY8QU","O-2V61LT9V","P-OZOXVVH9","C-4QNI7A5E","666.86","10","merchant__bigboxretailer","950.92","2022-04-24 21:01:21","2022-04-24 21:01:21"
"R-F6ZLAU95","O-J8WOUWH5","P-QQ2OV12P","C-FPYEKF67","457.25","1","merchant__bigboxretailer","531.66","2022-04-25 03:49:02","2022-04-25 03:49:02"
"R-Y3F7PKUH","O-URJN7UA8","P-ZAU2W3Z9","C-1A0FFLSW","268.56","3","merchant__bigboxretailer","627.62","2022-04-25 09:37:43","2022-04-25 09:37:43"
"R-4U516A48","O-3PM82GO9","P-XK8I8GS4","C-6HLNIBYC","242.93","7","merchant__bigboxretailer","485.22","2022-04-25 10:47:01","2022-04-25 10:47:01"
"R-QG2F33BX","O-SUWQ6CRD","P-2PS6UREM","C-OLDB0X9K","345.59","1","merchant__electronics","561.06","2022-04-25 12:25:04","2022-04-25 12:25:04"
"R-8SS06U6R","O-GJR08Z7X","P-ZHBUWTA0","C-XIZ6Z63Q","797.67","7","merchant__electronics","643.35","2022-04-25 13:38:28","2022-04-25 13:38:28"
"R-NP7KJ0RY","O-NN7QVJ8Y","P-WJ02AIHW","C-W5P02NDU","167.31","3","merchant__clothing","242.23","2022-04-25 14:56:15","2022-04-25 14:56:15"
"R-JLRIIMGQ","O-UVLMIM4Y","P-V2YOL7AH","C-SKJIDXTD","93.94","10","merchant__clothing","329.91","2022-04-25 16:43:33","2022-04-25 16:43:33"
"R-11MP8WK3","O-9F5A252X","P-B01VWS38","C-U872D2FR","430.09","6","merchant__electronics","645.93","2022-04-25 16:59:06","2022-04-25 16:59:06"
"R-WQRFX239","O-4BEZOCD3","P-AOCIVY7V","C-4ZGJHYVP","69.73","3","merchant__electronics","353.78","2022-04-25 17:56:11","2022-04-25 17:56:11"
"R-MHT91K1J","O-UIERT4M3","P-T25G5IH5","C-PN1WO5SV","163.3","5","merchant__bigboxretailer","416.99","2022-04-25 19:25:01","2022-04-25 19:25:01"
"R-EDDZKFMA","O-URJN7UA8","P-WH20NQO6","C-1A0FFLSW","104.37","3","merchant__bigboxretailer","304.97","2022-04-25 19:52:45","2022-04-25 19:52:45"
"R-MW0Q8E7J","O-OQRDRDGD","P-ISSHH50H","C-UA3ZFTSD","143.02","6","merchant__electronics","129.17","2022-04-25 21:38:15","2022-04-25 21:38:15"
"R-P92YD7PV","O-35PU4YPL","P-KYRSOO4D","C-QYBQHFM2","212.26","4","merchant__bigboxretailer","420.89","2022-04-25 22:21:37","2022-04-25 22:21:37"
"R-79HYPQ2X","O-3PM82GO9","P-YS3GT836","C-6HLNIBYC","38.25","8","merchant__bigboxretailer","869.4","2022-04-26 09:47:40","2022-04-26 09:47:40"
"R-I0DS62RN","O-0V43JWUO","P-155PCQB5","C-L1QGI4DE","491.36","4","merchant__bigboxretailer","613.33","2022-04-26 12:52:59","2022-04-26 12:52:59"
"R-D4U61WHV","O-NN7QVJ8Y","P-4NZA2QGO","C-W5P02NDU","816.81","3","merchant__clothing","742.74","2022-04-26 15:54:42","2022-04-26 15:54:42"
"R-TI3V66Q9","O-FS1M1KZ4","P-WH20NQO6","C-XJUIC7WJ","518.82","8","merchant__bigboxretailer","486.21","2022-04-26 16:22:50","2022-04-26 16:22:50"
"R-7I4FOR81","O-5MJJO6SR","P-ZAU2W3Z9","C-84YB1EC6","255.79","5","merchant__bigboxretailer","512.69","2022-04-26 17:25:21","2022-04-26 17:25:21"
"R-MBQJCI8P","O-A1YZ0KWE","P-4T2DYSGY","C-45GHSRIS","543.22","10","merchant__bigboxretailer","648.84","2022-04-26 17:28:50","2022-04-26 17:28:50"
"R-9TK7I6C9","O-JBW8XOQE","P-Z59F8USY","C-JK2UNOFN","290.79","9","merchant__electronics","553.66","2022-04-26 19:43:34","2022-04-26 19:43:34"
"R-8ROYB5FB","O-J8WOUWH5","P-JFNWQIFR","C-FPYEKF67","381.16","2","merchant__bigboxretailer","427.73","2022-04-27 04:52:26","2022-04-27 04:52:26"
"R-79JL6GP1","O-1H9C2TSM","P-2LT415KA","C-2JB2EBCE","392.02","1","merchant__clothing","321.78","2022-04-27 11:55:12","2022-04-27 11:55:12"
"R-N40SVE0T","O-FS1M1KZ4","P-VWPB01YN","C-XJUIC7WJ","104.86","9","merchant__bigboxretailer","243.49","2022-04-27 15:31:58","2022-04-27 15:31:58"
"R-L8QDYCMR","O-OFJZEUY5","P-7C6SF1AO","C-AN8397GN","41.14","6","merchant__bigboxretailer","326.94","2022-04-27 18:51:21","2022-04-27 18:51:21"
"R-WCU13MP4","O-OFJZEUY5","P-9NRU3SVM","C-AN8397GN","639.27","9","merchant__bigboxretailer","843.62","2022-04-27 19:39:11","2022-04-27 19:39:11"
"R-WP01PGMG","O-OQRDRDGD","P-XLCOJWPX","C-UA3ZFTSD","29.58","4","merchant__electronics","18.2","2022-04-27 22:42:38","2022-04-27 22:42:38"
"R-CINZKAYJ","O-EZTZOOFM","P-FIILZP9M","C-ITAJ88YW","274.9","4","merchant__bigboxretailer","190.01","2022-04-28 06:07:12","2022-04-28 06:07:12"
"R-0PM8MY7C","O-3PM82GO9","P-JFNWQIFR","C-6HLNIBYC","177.87","1","merchant__bigboxretailer","632.2","2022-04-28 11:35:31","2022-04-28 11:35:31"
"R-L87ILPHG","O-EZTZOOFM","P-4CG2IOLF","C-ITAJ88YW","46.02","8","merchant__bigboxretailer","163.87","2022-04-28 12:59:36","2022-04-28 12:59:36"
"R-BH6GTOOC","O-Z9W59LVF","P-2PS6UREM","C-635Z6FAU","18.7","7","merchant__electronics","27.91","2022-04-28 16:22:42","2022-04-28 16:22:42"
"R-44S1WFYQ","O-SWC8DE7G","P-OZOXVVH9","C-JK2UNOFN","87.01","8","merchant__electronics","118.61","2022-04-28 18:32:36","2022-04-28 18:32:36"
"R-96V3JMHE","O-7HVK2QSO","P-4CG2IOLF","C-SXG6XAJH","584.48","9","merchant__bigboxretailer","415.17","2022-04-28 21:01:19","2022-04-28 21:01:19"
"R-XLRLPU9N","O-L0JFL9U3","P-JZ1G5P39","C-GGVAN24S","598.04","5","merchant__clothing","694.55","2022-04-29 00:39:28","2022-04-29 00:39:28"
"R-R1KW9PYJ","O-D1GNOTMS","P-3QEYGQT6","C-SGU66AUG","10.87","6","merchant__electronics","10.94","2022-04-29 13:11:42","2022-04-29 13:11:42"
"R-8MS80XPL","O-6IVTLTIU","P-HNI2QR67","C-UOEZ4ZYK","25.36","2","merchant__bigboxretailer","528.11","2022-04-29 13:47:10","2022-04-29 13:47:10"
"R-HU9CS730","O-4PFNO0RA","P-6YXUDZDH","C-2O7Q8W7D","554.41","7","merchant__bigboxretailer","464.6","2022-04-29 17:52:03","2022-04-29 17:52:03"
"R-V6KBHNH4","O-SE1OIP3W","P-EHKJYGAL","C-SJXWTFPV","190.97","4","merchant__electronics","263.32","2022-04-29 20:10:00","2022-04-29 20:10:00"
"R-KLJCZECB","O-5K0Z3U1B","P-3QEYGQT6","C-MKU43K0H","180.64","6","merchant__electronics","555.92","2022-04-29 22:21:48","2022-04-29 22:21:48"
"R-2FJ50HDB","O-S76WR669","P-YHQL78FM","C-IMSN979Y","264.53","10","merchant__bigboxretailer","277.53","2022-04-30 12:57:22","2022-04-30 12:57:22"
"R-GU9SG7CD","O-Q2A1232R","P-I1EK2RA1","C-QLVQNJI3","130.11","3","merchant__electronics","260.1","2022-04-30 13:28:02","2022-04-30 13:28:02"
"R-ENDU3RR6","O-4BEZOCD3","P-KODMDODH","C-4ZGJHYVP","24.99","7","merchant__electronics","52.87","2022-04-30 16:46:21","2022-04-30 16:46:21"
"R-S41ZPCM1","O-4BEZOCD3","P-TLNTAS8N","C-4ZGJHYVP","678.75","2","merchant__electronics","630.79","2022-04-30 17:33:46","2022-04-30 17:33:46"
"R-N815CG0R","O-BXC79BEI","P-2PS6UREM","C-BIKAGMFQ","163.99","1","merchant__electronics","237.24","2022-04-30 19:22:09","2022-04-30 19:22:09"
"R-FK2NT0YV","O-7HVK2QSO","P-5OZ3VDM1","C-SXG6XAJH","33.58","10","merchant__bigboxretailer","171.75","2022-05-01 08:28:50","2022-05-01 08:28:50"
"R-5KTDGYO5","O-ER4DEAPL","P-IW00QT67","C-NOD08L9K","175.65","2","merchant__bigboxretailer","344.36","2022-05-01 12:34:11","2022-05-01 12:34:11"
"R-87EZFL1D","O-9PVKZZQK","P-0NWV2F1G","C-ZPMH53J2","556.58","10","merchant__clothing","481.6","2022-05-01 15:34:06","2022-05-01 15:34:06"
"R-7C6PML1Y","O-5K0Z3U1B","P-6YXUDZDH","C-MKU43K0H","205.07","4","merchant__electronics","402.09","2022-05-01 17:06:50","2022-05-01 17:06:50"
"R-9L8FSQ33","O-Z9W59LVF","P-Z59F8USY","C-635Z6FAU","209.95","10","merchant__electronics","489.4","2022-05-01 18:32:13","2022-05-01 18:32:13"
"R-VYI0TQK8","O-321JYRRE","P-5TTT376E","C-VOMY4PS4","30.52","6","merchant__clothing","818.05","2022-05-01 19:23:46","2022-05-01 19:23:46"
"R-6XFSU6K8","O-321JYRRE","P-V8JCV0J1","C-VOMY4PS4","84.82","1","merchant__clothing","475.75","2022-05-01 20:40:43","2022-05-01 20:40:43"
"R-LNI8RGCH","O-MY5HVUV9","P-AOCIVY7V","C-7PT9K9O1","189.11","4","merchant__electronics","535.32","2022-05-01 21:18:44","2022-05-01 21:18:44"
"R-P6ZTTQW3","O-3J1A0MJN","P-0EHNKABW","C-GYB5EMRK","60.39","5","merchant__electronics","46.5","2022-05-01 22:25:48","2022-05-01 22:25:48"
"R-Y2OH4SYQ","O-U1XBKQL0","P-155PCQB5","C-S99J6VWA","347.01","7","merchant__bigboxretailer","487.78","2022-05-02 00:03:47","2022-05-02 00:03:47"
"R-YV3Y17VL","O-9RR3PSUB","P-4CG2IOLF","C-TJRZ0YT0","109.76","9","merchant__bigboxretailer","567.55","2022-05-02 11:05:15","2022-05-02 11:05:15"
"R-JT5YIC67","O-5K0Z3U1B","P-EHKJYGAL","C-MKU43K0H","488.64","8","merchant__electronics","421.75","2022-05-02 14:07:44","2022-05-02 14:07:44"
"R-AMJVH9R0","O-RM026QA9","P-IW00QT67","C-TXBSS60G","299.83","10","merchant__bigboxretailer","179.58","2022-05-02 14:20:34","2022-05-02 14:20:34"
"R-6CU4M8N6","O-EZTZOOFM","P-WH20NQO6","C-ITAJ88YW","513.01","9","merchant__bigboxretailer","399.55","2022-05-02 16:29:32","2022-05-02 16:29:32"
"R-6GO9IGQD","O-EF1MNRFK","P-4NZA2QGO","C-6JAUR7DH","331.69","5","merchant__electronics","461.88","2022-05-02 19:01:14","2022-05-02 19:01:14"
"R-SY196LAK","O-U8CU9TIQ","P-5OZ3VDM1","C-9US7BSUT","374.47","8","merchant__bigboxretailer","374.37","2022-05-02 19:37:18","2022-05-02 19:37:18"
"R-OHQDGEVZ","O-Q2A1232R","P-QCFV8W45","C-QLVQNJI3","253.43","2","merchant__electronics","335.88","2022-05-02 21:08:39","2022-05-02 21:08:39"
"R-XTIICC38","O-EZTZOOFM","P-XSZP9R64","C-ITAJ88YW","59.05","5","merchant__bigboxretailer","390.25","2022-05-02 21:22:56","2022-05-02 21:22:56"
"R-0VHNY0X6","O-84ZRC0OB","P-OZOXVVH9","C-166DZNFD","90.17","8","merchant__bigboxretailer","767.62","2022-05-03 07:30:35","2022-05-03 07:30:35"
"R-B24VYM64","O-4TC1E5WW","P-91R34DZ1","C-DTA32VAG","259.04","2","merchant__clothing","668.12","2022-05-03 09:21:55","2022-05-03 09:21:55"
"R-2JAXXHE8","O-RDK5NN2G","P-YHQL78FM","C-VB8S6M1D","28.07","5","merchant__electronics","504.33","2022-05-03 16:55:10","2022-05-03 16:55:10"
"R-MP7HZOS8","O-4PFNO0RA","P-KODMDODH","C-2O7Q8W7D","121.44","4","merchant__bigboxretailer","570.4","2022-05-03 19:17:40","2022-05-03 19:17:40"
"R-X74L5898","O-MY5HVUV9","P-3QEYGQT6","C-7PT9K9O1","478.95","4","merchant__electronics","472.6","2022-05-03 21:53:14","2022-05-03 21:53:14"
"R-2B7Y6AHU","O-J2OTE75K","P-ZHBUWTA0","C-SKTJKGRN","2.94","2","merchant__electronics","82.2","2022-05-03 22:13:48","2022-05-03 22:13:48"
"R-K7NNJKJS","O-RM026QA9","P-RMA7V2ST","C-TXBSS60G","694.82","6","merchant__bigboxretailer","706.21","2022-05-04 12:36:20","2022-05-04 12:36:20"
"R-UYBRODRC","O-QLA9K18M","P-6GC7XGPK","C-2G2DBOYI","118.52","9","merchant__electronics","75.78","2022-05-04 17:42:07","2022-05-04 17:42:07"
"R-B9F2XXVN","O-3J1A0MJN","P-KTIPZKCX","C-GYB5EMRK","221.34","7","merchant__electronics","716.94","2022-05-04 19:20:10","2022-05-04 19:20:10"
"R-9OWSJMAI","O-NDS03LZD","P-ZHBUWTA0","C-VB8S6M1D","720.09","2","merchant__electronics","640.44","2022-05-04 22:27:08","2022-05-04 22:27:08"
"R-HPQR2KNN","O-JHC0L1GG","P-5OZ3VDM1","C-2OUVX5FO","57.65","3","merchant__bigboxretailer","389.47","2022-05-05 01:30:24","2022-05-05 01:30:24"
"R-7ERLMDNG","O-UCSDP8J0","P-3QEYGQT6","C-6BH93U5K","487.22","4","merchant__electronics","542.36","2022-05-05 09:02:16","2022-05-05 09:02:16"
"R-ER878J7T","O-2L44FEVY","P-2PS6UREM","C-JK68ST1G","474.86","7","merchant__clothing","428.0","2022-05-05 11:37:00","2022-05-05 11:37:00"
"R-RPS9EK83","O-U8CU9TIQ","P-KODMDODH","C-9US7BSUT","126.27","10","merchant__bigboxretailer","287.6","2022-05-05 12:56:01","2022-05-05 12:56:01"
"R-7X6OUH7I","O-9RR3PSUB","P-OZOXVVH9","C-TJRZ0YT0","362.62","6","merchant__bigboxretailer","463.87","2022-05-05 12:57:21","2022-05-05 12:57:21"
"R-0VZGQT6M","O-5K0Z3U1B","P-0EHNKABW","C-MKU43K0H","91.22","4","merchant__electronics","294.82","2022-05-05 13:15:42","2022-05-05 13:15:42"
"R-R3BE4VT2","O-4PFNO0RA","P-YS3GT836","C-2O7Q8W7D","244.83","8","merchant__bigboxretailer","431.73","2022-05-05 15:17:38","2022-05-05 15:17:38"
"R-23T4DKXG","O-GDOXJ8D3","P-3QEYGQT6","C-QOWD3D26","646.06","6","merchant__bigboxretailer","517.0","2022-05-05 15:53:47","2022-05-05 15:53:47"
"R-14MFXBWD","O-9RR3PSUB","P-6YXUDZDH","C-TJRZ0YT0","69.44","8","merchant__bigboxretailer","79.4","2022-05-05 18:24:17","2022-05-05 18:24:17"
"R-R9AOCYXV","O-BYD4EHHG","P-TLNTAS8N","C-4GF972G0","38.57","7","merchant__clothing","117.3","2022-05-05 18:57:39","2022-05-05 18:57:39"
"R-SR4TIJPX","O-S76WR669","P-QQ2OV12P","C-IMSN979Y","670.28","8","merchant__bigboxretailer","751.2","2022-05-05 19:22:42","2022-05-05 19:22:42"
"R-BG6GERGD","O-A29YDFAC","P-4T2DYSGY","C-XD18DQXC","110.21","8","merchant__bigboxretailer","727.2","2022-05-05 20:33:30","2022-05-05 20:33:30"
"R-NADEYI9P","O-EZTZOOFM","P-1RZN2MS3","C-ITAJ88YW","253.2","4","merchant__bigboxretailer","428.03","2022-05-05 21:33:00","2022-05-05 21:33:00"
"R-FXGNELFX","O-A29YDFAC","P-VWPB01YN","C-XD18DQXC","3.77","7","merchant__bigboxretailer","4.82","2022-05-05 21:40:05","2022-05-05 21:40:05"
"R-0MW8PVJF","O-RDK5NN2G","P-AOCIVY7V","C-VB8S6M1D","154.51","6","merchant__electronics","156.68","2022-05-05 22:39:33","2022-05-05 22:39:33"
"R-HP3RL450","O-JHC0L1GG","P-9NRU3SVM","C-2OUVX5FO","242.35","10","merchant__bigboxretailer","746.95","2022-05-06 02:32:05","2022-05-06 02:32:05"
"R-2NXB2FVP","O-CE0Q5WGQ","P-4NZA2QGO","C-YZMCAJSB","237.96","3","merchant__clothing","226.51","2022-05-06 10:21:31","2022-05-06 10:21:31"
"R-VJE0X0LL","O-N2VW0SWT","P-2QFHKAZC","C-DTA32VAG","59.83","5","merchant__clothing","48.48","2022-05-06 13:57:53","2022-05-06 13:57:53"
"R-83ZULHGO","O-9B2N7Z6M","P-FKPTQI59","C-FOY9SIU7","149.25","5","merchant__electronics","230.61","2022-05-06 19:58:52","2022-05-06 19:58:52"
"R-7THFRVO0","O-GDOXJ8D3","P-4T2DYSGY","C-QOWD3D26","526.74","3","merchant__bigboxretailer","630.17","2022-05-06 20:13:15","2022-05-06 20:13:15"
"R-4T7QGKKL","O-GDOXJ8D3","P-IATI6E7C","C-QOWD3D26","173.25","5","merchant__bigboxretailer","179.29","2022-05-07 12:32:38","2022-05-07 12:32:38"
"R-RKCXRP4C","O-MENFIRSJ","P-ISSHH50H","C-O4O2EHFR","851.67","1","merchant__electronics","930.94","2022-05-07 19:45:11","2022-05-07 19:45:11"
"R-DJKT8D7X","O-4PFNO0RA","P-JFNWQIFR","C-2O7Q8W7D","54.2","3","merchant__bigboxretailer","445.41","2022-05-07 20:37:33","2022-05-07 20:37:33"
"R-2USRCORB","O-Z3R4XELT","P-QQ2OV12P","C-97J7P7Z3","100.61","9","merchant__clothing","440.93","2022-05-08 10:14:47","2022-05-08 10:14:47"
"R-HT0HA3NG","O-6689WQTX","P-WJ02AIHW","C-3LO5EDXY","313.34","5","merchant__electronics","628.89","2022-05-08 11:40:09","2022-05-08 11:40:09"
"R-DLDFG6WO","O-BYD4EHHG","P-RMA7V2ST","C-4GF972G0","62.58","9","merchant__clothing","115.29","2022-05-08 14:17:10","2022-05-08 14:17:10"
"R-8ACD591P","O-QGHSYH7H","P-XSZP9R64","C-EHW5YF1V","43.49","3","merchant__bigboxretailer","237.87","2022-05-08 19:22:18","2022-05-08 19:22:18"
"R-6NJ81BGJ","O-EMKLCW3M","P-5OZ3VDM1","C-8HUGOZ0V","141.33","6","merchant__bigboxretailer","116.96","2022-05-09 06:04:59","2022-05-09 06:04:59"
"R-JHQWB96C","O-9RR3PSUB","P-ZAU2W3Z9","C-TJRZ0YT0","149.58","10","merchant__bigboxretailer","755.86","2022-05-09 06:45:24","2022-05-09 06:45:24"
"R-27KPWIZC","O-246C2VUN","P-VWPB01YN","C-HPCUR14D","939.29","5","merchant__bigboxretailer","847.06","2022-05-09 11:15:32","2022-05-09 11:15:32"
"R-DOEBEUML","O-70YXKJP6","P-FKPTQI59","C-OACBTM4J","449.92","5","merchant__electronics","435.43","2022-05-09 13:09:20","2022-05-09 13:09:20"
"R-5QFYIC8W","O-G6DRARKW","P-MPQ6WXMT","C-G8K1S9MU","664.06","9","merchant__electronics","490.84","2022-05-09 14:23:31","2022-05-09 14:23:31"
"R-9H19948S","O-JQ8JR1PO","P-WXWJ1PQH","C-KQ1P4XFR","30.04","6","merchant__clothing","209.52","2022-05-09 15:52:02","2022-05-09 15:52:02"
"R-EQAB9GGF","O-9NMZJDZC","P-YS3GT836","C-QYBQHFM2","6.42","8","merchant__bigboxretailer","123.57","2022-05-09 16:51:19","2022-05-09 16:51:19"
"R-TF77TJ43","O-321JYRRE","P-2PS6UREM","C-VOMY4PS4","326.45","5","merchant__clothing","281.69","2022-05-09 17:27:27","2022-05-09 17:27:27"
"R-582651ES","O-GYQJCI2U","P-V8JCV0J1","C-FY88NY7I","69.98","9","merchant__bigboxretailer","95.9","2022-05-09 18:24:04","2022-05-09 18:24:04"
"R-N8PDNLCU","O-EMKLCW3M","P-IW00QT67","C-8HUGOZ0V","234.94","2","merchant__bigboxretailer","410.05","2022-05-09 18:45:23","2022-05-09 18:45:23"
"R-X7CQB1FB","O-QM94E1WE","P-V8JCV0J1","C-Q3O2BJ6A","195.55","6","merchant__clothing","265.14","2022-05-09 19:49:36","2022-05-09 19:49:36"
"R-85G2L8O4","O-UCSDP8J0","P-YHQL78FM","C-6BH93U5K","514.07","3","merchant__electronics","799.67","2022-05-09 21:21:30","2022-05-09 21:21:30"
"R-PADAEN2U","O-GYQJCI2U","P-3QEYGQT6","C-FY88NY7I","40.35","3","merchant__bigboxretailer","23.58","2022-05-10 06:38:12","2022-05-10 06:38:12"
"R-7G55X8JL","O-4T9S3DWO","P-3QEYGQT6","C-4Y4YS76L","24.36","6","merchant__electronics","284.82","2022-05-10 08:47:16","2022-05-10 08:47:16"
"R-BC5CF11Q","O-W3UEEE1G","P-T25G5IH5","C-HLFX29FU","3.0","6","merchant__bigboxretailer","26.12","2022-05-10 10:02:35","2022-05-10 10:02:35"
"R-6N2G2Z2U","O-SSDE7FCD","P-IW00QT67","C-FFQMUHYJ","2.97","3","merchant__bigboxretailer","590.85","2022-05-10 11:13:19","2022-05-10 11:13:19"
"R-4QDJ4RAC","O-GGF7GM01","P-OV1JLP72","C-KBYA1OPM","496.39","6","merchant__clothing","500.03","2022-05-10 12:51:51","2022-05-10 12:51:51"
"R-NHNK287B","O-70YXKJP6","P-YHQL78FM","C-OACBTM4J","613.05","3","merchant__electronics","784.16","2022-05-10 17:47:58","2022-05-10 17:47:58"
"R-3RQUFFDL","O-VEBN74X1","P-HNI2QR67","C-CW7LHBQZ","453.81","1","merchant__bigboxretailer","420.23","2022-05-10 18:24:27","2022-05-10 18:24:27"
"R-VQDPVXOY","O-DPR70986","P-FKPTQI59","C-YDSGBWGT","149.13","2","merchant__electronics","888.37","2022-05-10 20:23:09","2022-05-10 20:23:09"
"R-LH92QHAO","O-MKVBMHH0","P-3QEYGQT6","C-KX23Y2RQ","2.47","4","merchant__electronics","28.44","2022-05-11 08:42:43","2022-05-11 08:42:43"
"R-O0Q5R2JL","O-0XM8L6A6","P-WH20NQO6","C-6KIHX8YQ","119.49","8","merchant__bigboxretailer","749.99","2022-05-11 12:55:24","2022-05-11 12:55:24"
"R-G9GZVDGV","O-GGF7GM01","P-3TA62ZFL","C-KBYA1OPM","56.31","1","merchant__clothing","49.2","2022-05-11 13:48:14","2022-05-11 13:48:14"
"R-A20IRZ3F","O-QGZBE2DH","P-QTCC1QZX","C-1QNWSNR4","110.91","5","merchant__bigboxretailer","262.27","2022-05-11 14:35:07","2022-05-11 14:35:07"
"R-BBZHL67I","O-BVHRARA8","P-DFJI5OAC","C-MODVG71B","28.25","9","merchant__clothing","126.86","2022-05-11 15:26:56","2022-05-11 15:26:56"
"R-CU5O713Q","O-GDOXJ8D3","P-XSZP9R64","C-QOWD3D26","343.95","2","merchant__bigboxretailer","525.13","2022-05-11 18:42:27","2022-05-11 18:42:27"
"R-Q04R76AF","O-Q3ZKHA4U","P-2QFHKAZC","C-ZPMH53J2","160.9","4","merchant__clothing","216.14","2022-05-11 19:02:07","2022-05-11 19:02:07"
"R-520ONCIU","O-QGZBE2DH","P-YHQL78FM","C-1QNWSNR4","13.99","7","merchant__bigboxretailer","283.57","2022-05-11 19:25:51","2022-05-11 19:25:51"
"R-3PN9TMCX","O-4T9S3DWO","P-HNI2QR67","C-4Y4YS76L","378.99","1","merchant__electronics","396.41","2022-05-11 20:47:32","2022-05-11 20:47:32"
"R-XV5H891Z","O-XX07LWO9","P-KTIPZKCX","C-UA3ZFTSD","52.52","7","merchant__electronics","167.47","2022-05-12 03:48:30","2022-05-12 03:48:30"
"R-EH9H180C","O-84ZRC0OB","P-HNI2QR67","C-166DZNFD","601.17","9","merchant__bigboxretailer","821.64","2022-05-12 08:44:59","2022-05-12 08:44:59"
"R-US8FSKXY","O-E5CV6Q8J","P-FIILZP9M","C-XB9LA8BL","25.18","2","merchant__bigboxretailer","466.9","2022-05-12 11:55:58","2022-05-12 11:55:58"
"R-LQZ9SEG1","O-BVHRARA8","P-2LT415KA","C-MODVG71B","125.87","7","merchant__clothing","297.83","2022-05-12 12:07:38","2022-05-12 12:07:38"
"R-QORVB9W6","O-2L44FEVY","P-T84X228E","C-JK68ST1G","274.43","2","merchant__clothing","249.62","2022-05-12 12:15:31","2022-05-12 12:15:31"
"R-RBN34249","O-EMKLCW3M","P-YHQL78FM","C-8HUGOZ0V","210.34","5","merchant__bigboxretailer","208.59","2022-05-12 15:47:20","2022-05-12 15:47:20"
"R-37C3VZD4","O-3RJ1W6RY","P-4NZA2QGO","C-LI9VPAYW","75.94","10","merchant__electronics","259.38","2022-05-13 07:30:03","2022-05-13 07:30:03"
"R-8BYDAGV4","O-Q0HM61I2","P-0EHNKABW","C-R6QP7HQR","568.54","10","merchant__electronics","574.82","2022-05-13 08:30:03","2022-05-13 08:30:03"
"R-OE0RMIE0","O-BDVX8O62","P-B01VWS38","C-3LO5EDXY","71.44","2","merchant__electronics","43.93","2022-05-13 09:43:02","2022-05-13 09:43:02"
"R-DEPF6MYL","O-KWGEUA1Z","P-ZAU2W3Z9","C-0294IIJ3","663.9","6","merchant__bigboxretailer","740.64","2022-05-13 09:43:47","2022-05-13 09:43:47"
"R-B8O8BB82","O-VEBN74X1","P-VWPB01YN","C-CW7LHBQZ","255.99","5","merchant__bigboxretailer","360.15","2022-05-13 10:40:50","2022-05-13 10:40:50"
"R-ABL3161K","O-44P90HNM","P-HNI2QR67","C-SO9Z3ZVH","5.8","1","merchant__electronics","432.98","2022-05-13 11:45:56","2022-05-13 11:45:56"
"R-AUAW6MH3","O-3RJ1W6RY","P-FKPTQI59","C-LI9VPAYW","761.41","6","merchant__electronics","430.45","2022-05-13 11:52:57","2022-05-13 11:52:57"
"R-RQVQDCNP","O-DPR70986","P-6YXUDZDH","C-YDSGBWGT","574.19","5","merchant__electronics","690.32","2022-05-13 12:34:49","2022-05-13 12:34:49"
"R-RYKSSRZY","O-BYD4EHHG","P-WXWJ1PQH","C-4GF972G0","554.84","8","merchant__clothing","650.75","2022-05-13 12:49:51","2022-05-13 12:49:51"
"R-SHMK91N5","O-JQ8JR1PO","P-2QFHKAZC","C-KQ1P4XFR","13.51","5","merchant__clothing","39.88","2022-05-13 14:06:21","2022-05-13 14:06:21"
"R-9SDONSYQ","O-70YXKJP6","P-4KW88B3C","C-OACBTM4J","38.7","4","merchant__electronics","39.41","2022-05-13 14:21:15","2022-05-13 14:21:15"
